Claim_ID,AD_Total,TPPI_Total,TPPD_Total
91,307.9,94620.76,5951.16
92,862.5,312.82,5790.85
93,2900.21,888625.77,6038.67
94,1457.56,1348.44,5991.98
95,1022.33,14749.23,5913.42
96,479.22,1427341.91,6061.73
97,343.94,2185.08,5866.96
98,726.13,176462.49,5925.92
99,1809.83,16356.32,5979.1
100,372.72,10239.79,6030.49
101,89.12,3554.05,5852.94
102,249.14,78201.62,6047.55
103,956.87,128584.51,5877.22
104,687.6,274.76,6136.85
105,1442.23,0.56,6037.71
106,391.9,3496.01,5862.6
107,51.4,29.06,5890.97
108,202.78,8628.98,6014.13
109,208.23,10675.12,5952.79
110,813.28,28611.09,5954.57
111,247.94,6177.44,6045.94
112,347.54,107642.24,5794.42
113,3542.45,848.84,6179.3
114,991.42,230,5981.55
115,4291.19,170.52,6196.35
116,479.59,815.51,6101.03
117,343.14,4.7,5954.9
118,1121.08,91.74,5886.49
119,408.57,80.29,6038.46
120,1403.78,18793.58,5980.2
121,348.14,12737816.53,5993.28
122,359.69,94.1,5818.59
123,659.25,20043.82,6010.22
124,143.21,65183762.6,6190.75
125,217.05,673934.88,5924.68
126,267.02,204.05,5785.42
127,1450.36,5345.55,6062.56
128,61.75,5.28,5955.19
129,126.78,127249.85,5898.42
130,906.01,4153.7,5933.21
131,597.44,38674.72,6001.35
132,356.64,54783.03,5939.99
133,530.78,425.81,6097.96
134,91.84,5533.64,6127.1
135,500.45,9.04,6004.24
136,1673,4193.54,6198.03
137,207.46,7030.21,5827.79
138,395.08,710.37,6118.06
139,1010.43,183.55,5957.37
140,353.17,50483.31,5992.27
141,1779.08,71.17,6253.67
142,318.81,540272.62,5909.3
143,100.98,11043.26,6107.75
144,31.92,433.45,6019.11
145,665.29,32881.1,5982.12
146,591.69,8126.48,6003.59
147,166.04,111.18,5869.19
148,306.36,4846.16,6125.08
149,777.6,170.72,6134.54
150,204.84,90604.74,5980.48
151,237.83,120.68,6010.59
152,109.65,54.65,5848.47
153,586.55,14.17,5840.96
154,145.4,9302.07,6099.2
155,1032.89,6627.99,6051.07
156,338.52,295.01,5879.26
157,159.2,62867.51,5884.41
158,225.94,22043.97,5844
159,533,1119.54,5760.58
160,1937.86,1866.04,6041.67
161,2278.86,7437.65,5955.15
162,381.39,1496413.65,5827.64
163,4929.5,725088.31,6031.1
164,1884.32,39.07,5976.51
165,993.44,603.78,5939.51
166,245.75,13107.3,5929.23
167,233.65,1895.37,6024.29
168,146.59,51.37,5924.78
169,724.79,2271210.14,5894.98
170,476.14,16368.95,5932.18
171,3144.87,5511.6,5859.9
172,1892.92,599245.78,6216.58
173,340.27,134.78,6055.15
174,168.11,1330.25,6045.61
175,81.32,227.38,5887.16
176,334.27,819.67,6039.1
177,5745.45,1739.68,6027.91
178,249.71,214.36,5845.6
179,376.06,21635.04,5899.56
180,3769.85,1240.39,6133.46
181,1276.45,14891.65,6001.12
182,106.51,11.51,6135.54
183,1534.05,90.34,5928.85
184,447.72,470.54,5949.68
185,360.46,4578.27,6037.06
186,158.27,423876.94,5958.62
187,250.62,704.48,5871.23
188,697.3,1506023.03,5896.11
189,304.28,1632.11,5758.04
190,260.97,19.17,5821.69
191,1142.24,110.62,6029.68
192,113.35,929.74,6117.61
193,1057.93,1771.81,5995.78
194,493.3,7.21,5920.31
195,1800.02,421964.46,6062.34
196,2995.22,20819.61,5948.07
197,2642.12,136.21,6047
198,424.26,10880.18,5997.38
199,1006.97,2565.49,6095.45
200,1710.16,21.56,5911.63
201,1016.78,80.29,5876.77
202,462.66,14358.1,5936.39
203,690.13,392.37,6009.57
204,1366.74,3518.38,5883.28
205,644.25,127811.79,5825.58
206,560.17,1033.96,5943.85
207,124.53,522.36,5886.14
208,485.07,319683.58,6077.02
209,1173.47,4168.67,6010.28
210,204.44,280587.71,6025.26
211,277.86,33.96,5879.34
212,113.82,94195.62,6082.81
213,1486.69,56027272.3,6072.6
214,2082.34,79969.63,6211.59
215,2716.53,56463.34,5968.24
216,426.47,1265.12,6156.67
217,337.27,8055.08,5986.06
218,25446.2,215171.21,5931.55
219,616.27,10.43,6020.06
220,1030.39,7834669.34,6003.78
221,154.48,8561.89,6077.22
222,1412.45,2652.4,6041.01
223,406.58,1685454.65,6025.23
224,1796.52,9255.32,6073.31
225,137.26,4450.03,6010.59
226,648.27,13057.41,6086.44
227,1446.84,9657.84,5988.05
228,488.09,2244.85,5958.75
229,97.83,401.94,5866.33
230,1998.57,277219.42,6126.09
231,318.89,739.33,5778.14
232,238.3,3145.7,6069.43
233,381.05,55.54,6021.2
234,316.19,125786.39,6014.3
235,106.41,88.42,6088.5
236,1008.66,10096.88,5951.59
237,2885.26,0.57,6140.78
238,364.09,199700.08,5809.83
239,3000.29,2668.19,5956.86
240,1352.19,443.44,6069.66
241,77.26,1140.91,6250.87
242,822.34,64.02,6069.23
243,81.44,42.49,6130.59
244,781.37,15722.07,5937.02
245,1544.53,328.5,5762.17
246,217.29,24953.53,6060.96
247,1797.02,39.22,5993
248,283.35,24024.44,5927.67
249,1134.61,78968.01,6152.32
250,1194.5,122.6,5783.07
251,234.67,252.17,6283.23
252,590.67,39.3,6042.26
253,3983.71,12252.15,5880.66
254,383,40033.74,5778.71
255,1941.06,12740.46,6122.17
256,3456.08,55001.12,6051.04
257,279.61,347.35,5825.67
258,508.82,228.65,6008.36
259,1878.89,5041.39,5958.03
260,386.31,933.9,6080.7
261,362.68,10.21,5790.23
262,80.58,436.8,6051.28
263,2909.26,19939.04,6067.04
264,268.82,9256.53,6086.96
265,1479.12,34.51,5953.98
266,3331.44,1146.44,6108.28
267,254.44,18522915.12,6125.55
268,1297.66,1237.14,6003.62
269,239.34,13796.55,5964.29
270,274.58,9191281.58,5840.87
271,336.19,242.02,5893.55
272,274.27,1916.36,6034.18
273,220.89,344.58,5844.45
274,774.41,47.78,5995.65
275,1253.28,41.59,6018.9
276,247,4503.12,5903.17
277,1589.54,205.47,6009.13
278,204.5,497.76,6035.85
279,808.84,1002686.19,5952.88
280,481.57,26131.31,5887.99
281,1001.44,1748823.23,6003.29
282,126.2,510.86,5730.14
283,510.26,851.76,5900.19
284,1394.94,651.77,5898.34
285,2658.82,10500.54,5991.06
286,546.9,26052.85,6097.28
287,3173.24,2179.39,6027.56
288,114.76,3.2,6068.86
289,60.19,487.98,5822.63
290,492.41,38.27,5981.7
291,378.73,2295.1,6098.61
292,1417.05,26.18,5811.83
293,228.88,119222.75,5824.79
294,513.36,24579.37,6023.49
295,209.09,49.82,6120.1
296,1157.88,5555.09,5946.79
297,1515.57,8410.47,6043.5
298,313.18,141600.67,6068.54
299,960.75,1330.13,6271.08
300,233.94,11247.51,5961.36
301,421.66,67.79,5963.87
302,5789.47,534148.32,6178.34
303,26.06,2163.17,6051.28
304,241.98,61432.9,5913.35
305,2913.28,161.67,6154.31
306,678.98,4565.27,5972.5
307,801.53,204727.49,5974.21
308,744.06,3832.07,6005.32
309,2480.69,45909.62,5861.79
310,1096.61,11.58,5997.22
311,997.08,26.79,6023.95
312,424.49,3015.58,5907.37
313,266.41,115.24,6082
314,857.85,15.93,6063.7
315,251.23,152174.84,5900.15
316,579.12,3889.71,6194.92
317,1642.11,719353.66,5847.55
318,353.44,4788.02,5994.36
319,263.09,0.54,6058.47
320,75.72,3374.59,5935.26
321,961.96,3521.7,6064.45
322,371.36,1.22,5990.61
323,1290.42,573.45,6103.76
324,1671.21,174.57,6065.45
325,156.04,73.72,6007.48
326,1154.14,9662152.15,6067.6
327,1707.49,73204.62,6032.53
328,344.39,664.83,6034.09
329,83.45,162.17,6043.72
330,3589.24,3513.97,6085.07
331,795.65,24113.66,5942.4
332,294.26,253630.6,5982.67
333,1361.87,204.1,6035.8
334,101.38,10948.45,6045.98
335,1139.59,773814.81,6004.22
336,283.39,13841.11,6164.56
337,843.2,116.13,5966.73
338,2283.79,0.75,5904.39
339,39.33,794.51,6167.81
340,1071.33,43335.64,5995.69
341,1203.13,2488.98,6053.96
342,1001.92,3338.83,5983.26
343,332.45,1078.25,5983.37
344,2950.4,157.36,6052.97
345,557.65,160775.94,6166.52
346,801.98,227238.1,5976.83
347,2194.19,23.29,6002.54
348,1967.44,4525.93,5935.4
349,110.49,2434.79,5899.43
350,1441.11,1303.02,5882.29
351,811.3,36544.92,5918.65
352,726.11,598.19,5978.38
353,979.83,25.34,6018.49
354,1606.14,45302.18,5896.79
355,506.73,166.64,5897.35
356,380.35,4778.86,5942.21
357,465.02,33342.65,6021.82
358,452.94,10.48,5973.28
359,895.42,8.49,5970.85
360,1467.65,401386.01,5984.42
361,576.69,1306862.6,5745.86
362,3398.31,56923.66,6052.04
363,1386.1,30575.57,6074.96
364,3009.71,11737.59,6058.58
365,160.14,245.61,6115.25
366,295.25,109.1,5890.94
367,1873.48,140811.05,6026.27
368,645.71,254.18,5893.07
369,310.23,2.96,5952
370,422.26,16.03,6106.02
371,378.58,38.71,6001.43
372,149.22,182.04,5819.17
373,113.37,55686.56,5826.98
374,1501.51,156.57,5966.62
375,57.53,56586.02,5748.28
376,337.46,13758.03,6165.11
377,1674.88,46902.21,5793.16
378,857.87,336780.01,5943.98
379,1148.54,83.58,6008.13
380,361.41,166586.2,6085.23
381,3456.91,15.91,5728.1
382,591.07,120284444.6,5928.19
383,166.05,1613577.85,6292.5
384,127.6,4225.47,5697.2
385,374.01,9133.44,5892.68
386,1581.91,605204.07,6183.28
387,114.97,30.06,6090.98
388,552.27,47963.36,6233.5
389,166.76,292.21,6173.94
390,301.25,26092.64,6013.4
391,269.39,1197.51,5893.2
392,404.51,11752.11,6056.34
393,318.66,18690.65,6071.21
394,533.86,137018.62,6118.69
395,2058.26,26.15,5738.77
396,3512.13,628.54,6010.23
397,160.41,20.99,6196.02
398,455.38,718.42,5808.32
399,386.33,780.82,6001.3
400,379.78,7445.87,6066.38
401,254.08,707.99,6057.87
402,194.71,7558.6,6004.55
403,840.79,3837.81,5862.96
404,206.82,17180.09,6093.45
405,469.23,11.08,5796.25
406,417.75,39.75,5998.51
407,478.06,3683.84,5986.85
408,971.95,127.66,5818.38
409,324.17,3524.28,6081.42
410,112.52,333.87,5941.78
411,1585.79,6934.3,6103.52
412,145.9,161960.39,5995.81
413,1127.78,1656.13,5966.11
414,569.56,8775.61,6073.2
415,352.06,180142.53,6016.74
416,2426.95,381.06,5904.64
417,1233.43,49.69,5863.08
418,337.03,19114.4,5973.03
419,216.19,33.02,6078.3
420,81.27,253.01,6152.74
421,539.24,5580.72,5854.93
422,345.55,4787.54,6122.68
423,680.22,367.96,5953.51
424,563.63,12098.01,5779.18
425,1160.96,8725.78,6091.83
426,307.39,35710149.63,5827.54
427,1337.66,54904.61,6315.33
428,2829.59,33200.28,5974
429,108.5,24.34,5950.47
430,3265.02,903,6097.99
431,879.49,790.24,6084.56
432,4728.49,494.99,5808.88
433,310.76,1552901.78,5974.6
434,192.01,1719.97,5921.25
435,360.93,30.2,5928.79
436,1141.82,4658.5,6227.37
437,215.64,59.4,6202.63
438,2140.15,1108574.61,5937.42
439,1397.98,241.15,6130.04
440,22532.44,29472.33,6198.77
441,107.31,3.65,6183.34
442,246.1,3330251.25,5960.52
443,383.35,40532.92,5911.49
444,1575.7,116.75,6108.09
445,2540.43,22211.82,5891.25
446,668.92,896534.93,6137.14
447,3043.21,33.71,6102.43
448,542.41,1209.25,6110.96
449,720.4,259.93,6082.89
450,110.22,1850.55,5835.52
451,409.81,3413.76,6102.99
452,1181.59,5866.27,6003.25
453,473.16,463062.14,5892.9
454,1182.06,40.5,5922.55
455,128.2,3616.23,6046.41
456,323.09,1675.75,5820.27
457,97.86,22.78,6102.5
458,3746.5,30.68,5784.88
459,129.38,1132450.53,5924.76
460,376.3,570346.45,6121.74
461,41.84,535.4,5926.89
462,1381.6,4067.84,5825.61
463,250.16,23289.07,6197.26
464,710.93,3001.95,5898.1
465,71.67,606907.42,6028.18
466,70.72,608.33,6123
467,521.53,118413.66,5948.27
468,376.41,24578.92,5849.27
469,4285.67,138094.21,6097.7
470,595.97,24054.8,6037.53
471,575.92,15320.98,6122.8
472,315.94,-0.06,6072.33
473,716.28,320.81,5953.86
474,397.79,6.27,5909.9
475,88.96,13.27,5900.61
476,3397.63,1751.48,6034.97
477,1020,50397.02,6132.06
478,682.86,4958.79,5871.76
479,436.38,113.24,5933.51
480,237.77,393.48,6026.85
481,999.26,21.46,5987.74
482,168.28,13.12,6023.03
483,55.28,2372.75,6108.43
484,400.94,4040.31,5839.13
485,624.43,2765.18,5954.16
486,1282.16,336.31,6040.59
487,79.27,1161094.72,5975.45
488,3094.62,28.19,5879.82
489,389.99,9194.64,6167.5
490,815.54,721.22,6051.58
491,567.15,2291.48,6067.12
492,701.99,2076.73,6085.31
493,51.49,311.82,5976.32
494,416.98,5168.65,5937.22
495,346.45,18.2,5936.19
496,231.92,755664.46,5896.78
497,735.42,10023.59,5908.31
498,2372.4,128449.45,5948.15
499,12781.34,265.47,5963.42
500,2256.17,22828.7,6104.75
501,6135.27,191.67,6057.21
502,597.37,3590996.4,5963.17
503,2049.65,80428.67,5842.4
504,203.45,8919.87,5941.11
505,117.59,1651007.16,6014.48
506,152.54,247.47,6114.18
507,233.02,8121.81,6220.69
508,928.09,731.61,6117.79
509,846.86,9.24,5960.22
510,950.09,3970.95,5702.55
511,304.71,879.23,5947.24
512,1061.76,57148.33,5977.2
513,716.72,2060.97,5967.06
514,46.86,5953.6,5886.21
515,300.39,974.97,6003.62
516,153.78,229.18,6052.97
517,1483.78,253.01,5982.29
518,180.81,15.02,6099.67
519,625.07,714.05,5961.26
520,63.96,183.49,6047.39
521,398.37,8149.69,5845.67
522,794.77,514.41,5899.42
523,2909.73,4.92,6074.65
524,3749.87,549.52,5879.99
525,180.13,187.1,6014.36
526,971.38,7587.32,5702.01
527,508.6,13074.1,5812.81
528,140.26,8517.87,5801.72
529,156.58,58115.22,5966.49
530,375.96,318.63,5892.22
531,248.33,405.69,5946.96
532,289.04,373286.62,5926.32
533,75.5,689.19,6104.61
534,317.27,62661.36,5962.47
535,38.8,1598.53,6102.06
536,471.62,18329.46,5921.69
537,626.67,860.08,5828.77
538,297.53,362.82,6041
539,1908.29,554.92,6296.74
540,452.64,57.01,5977.1
541,423.26,496.74,5938.38
542,1360.65,11.43,5848.49
543,67.43,591365.67,6210.12
544,4948.94,14222.02,5964.1
545,1311.51,115806.16,6013.41
546,369.71,119.88,5962.35
547,971.09,222706.77,5902.73
548,450.96,2910.08,6203.63
549,437.07,1116.46,6135.74
550,123.74,46.51,5953.72
551,2078.15,1.84,5832.1
552,2546.82,5848.66,6134.84
553,935.04,11067.58,6028.92
554,135.66,882.9,6003.71
555,1610.58,2700580.4,5861.98
556,1363.2,587.78,6064.32
557,403.13,2764779.73,6022.85
558,5768.67,372248.29,5762.86
559,834.24,2231.21,6038.56
560,387.15,472619.06,5866.87
561,1185.95,28.21,5890.49
562,1182.29,0.97,6134.44
563,178.81,28102.56,6058.3
564,1872.84,3777.88,5984.65
565,813.75,5241.28,5935.76
566,1118.96,3882.09,6075.89
567,94.53,4220154.04,6114.07
568,170.9,240.72,5933.47
569,524.71,587022.15,6090.17
570,280.54,54750.59,5896.24
571,915.01,3242.36,6005.99
572,1728.38,146.1,5952.74
573,225.42,74.76,6163.81
574,955.57,22085.63,6024.61
575,759.54,142157.96,5857.05
576,28.56,483538.57,6033.63
577,1460.39,1187.18,6096.68
578,1415.68,33937.11,6115.65
579,1578.74,22169.86,6081.81
580,942.86,2605.9,5970.63
581,288.49,3848.35,6083.65
582,1018.63,4088.44,6010.02
583,385.01,1037.23,5991.18
584,79.57,34.84,6043.24
585,346.17,20.09,5937.03
586,250.83,20861.12,5956.72
587,850.76,15353.36,5978.83
588,425.98,51645.65,5963.8
589,2122.88,118211.73,6005.97
590,2215.18,581.92,6011.36
591,459.39,1734.53,5979.86
592,1524.5,1238.61,5916.01
593,317.15,21336.03,6180.9
594,912.98,548213.93,6001.11
595,280.53,16818.23,5972.47
596,748.18,44551.53,5843.94
597,87.09,4077.13,6073.76
598,626.07,45433.45,6173.73
599,432.15,1517.11,5998.84
600,1319.52,7614.17,6111.24
601,1423.44,355224.69,6073.52
602,980.73,42,5907.08
603,1207.47,7390.74,5843.58
604,614.63,49181.32,6124.29
605,677.36,7285.31,6010.47
606,448.16,34947.77,5835.3
607,2019.98,2797.52,6101.83
608,325.91,8906.53,6036.22
609,790.85,50.46,5989.57
610,2232.35,23865.25,5773.86
611,1140.4,1855.3,5739.88
612,671.49,3632200.01,5961.32
613,836.16,10564.85,5982.33
614,674.89,2443.74,5918.66
615,4964.22,3625.35,5876.28
616,387.63,28712.97,5882.52
617,946.02,7723.65,5932.66
618,200.15,396720.7,6103.33
619,414.53,7.74,5865.77
620,1044,9981.96,6128.47
621,925.14,581.81,5835.5
622,3603.24,16904.31,6267.42
623,1469.21,1673.28,6091.12
624,3576.73,675.27,6076.4
625,4590.69,5528.87,5961.22
626,127.62,4737.61,5803.6
627,524.35,1024.56,5784.47
628,533.7,731,6052.53
629,470.53,406.31,6087.71
630,760.43,12424.57,5988.93
631,69.61,3673.04,6235.77
632,198.96,26935.29,6162
633,618.66,97612.52,6057.94
634,235,262.51,6178.39
635,242.03,117163.93,6021.69
636,431.54,54,5984.51
637,357.15,94.36,6023.17
638,647.66,340.2,6070.57
639,582.14,34148.55,5970.46
640,2806.44,410526.1,5998.15
641,1352.06,6640.56,6027.69
642,333.74,278.83,6035.39
643,3102.41,21000.69,5739.43
644,211.87,109018.52,6074.1
645,84.65,1794.28,6144.12
646,751.59,7995.89,5975.2
647,336.84,29482.3,5876.79
648,350.42,271.33,5917.37
649,725.66,62.7,5894.6
650,152.34,4.35,5954.18
651,1670.41,194306.82,5953.5
652,518.34,1.71,5982.44
653,592.05,26.76,6238.21
654,1189.65,21.52,5973.75
655,130.73,8216.74,6194.53
656,505.53,465.96,6009.17
657,612.68,6667026.96,6042.04
658,466.23,35494.49,5982.12
659,706.21,1394.56,6028.12
660,511.56,124.39,5977.86
661,242.34,6.59,6026.54
662,1467.48,218021.23,5896.16
663,398.79,5949055.43,6030.58
664,533.85,369.62,6102.42
665,51.81,2751.88,5813.55
666,1936.49,5.66,5937.29
667,119.86,4365.12,5968.77
668,876.55,3973.74,6069.58
669,1061.23,784.32,6006.13
670,1528.37,6665.72,5979.14
671,1400.15,29537,6022.29
672,863.74,577.52,6136.71
673,274.66,17649.11,5890.3
674,988.72,10.79,5906.17
675,2759.59,12000.55,6209.12
676,259.65,4647.79,5917.38
677,952.94,209.65,6107.65
678,214.77,3.09,5955.71
679,500.86,57705.27,6111.36
680,404.22,2.54,5873.23
681,1521.99,1071.9,5970.82
682,131.39,239775.11,6051.88
683,264.01,10197077.45,6115.98
684,70.88,885.26,6070.07
685,55.56,23.87,5786.6
686,3158.49,4.94,5973.12
687,642.22,869.04,6181.03
688,2294.18,202447.58,6072.74
689,189.06,117.06,5987.26
690,863.9,15702.8,5981.25
691,1709.7,3138.02,6057.1
692,157.94,9.78,6028.84
693,717.58,13215.72,5999.1
694,192.94,110.99,6059.08
695,1019.61,26550.72,5984.31
696,394.15,128.94,6032.44
697,4024.29,3261.76,6044.51
698,82.24,54583.64,6153.93
699,57.69,651.5,6018.38
700,1768.32,398.17,5879.55
701,357.97,28734.85,6025.06
702,1005.15,10.4,5933.85
703,2440.12,39035,6059.85
704,742.26,3041440.91,6000.03
705,408.11,322.32,6060.31
706,1363.1,3486.64,5825.93
707,818.12,1379.07,6068.1
708,3113.91,285.28,5804.78
709,94.38,2.39,5853.63
710,1144.44,35469.94,6000.3
711,3477.3,67205.68,6085.41
712,255.31,10.06,6009.45
713,330.25,94116.69,6002.9
714,84.14,589.87,6125.18
715,668.27,27643.03,5936.04
716,63.51,1747.93,5884.86
717,374.83,503200.52,6017.79
718,125.11,186.36,5984.71
719,648.31,795435.11,5794.03
720,240.16,1463.8,6016.61
721,600.86,54299.59,6241.86
722,229.27,698.31,6062.54
723,1457.47,138,5866.59
724,1480.2,531876.4,5711.68
725,1523.85,589959.86,6205.47
726,274.51,107.96,5994.07
727,335.11,3447.56,6113.07
728,468.53,1.7,6032.31
729,1198.26,510.54,5982.6
730,646.69,474.85,6044.56
731,241.41,4.06,6098.1
732,626.39,98158248.14,6126.26
733,181.97,84.22,6053.79
734,120.48,2499.89,6155.02
735,565.92,1609824.99,5987.95
736,689.06,176.43,6179.61
737,11212.79,193.74,5958.38
738,2508.53,124817.68,6123.56
739,1824.09,174425.26,6038.69
740,23.87,85281.23,6064.67
741,1313.2,618.21,6024.22
742,531.53,6852.9,5970.84
743,455.99,514.46,5958.72
744,770,62136.65,6014.14
745,1182.85,7346.16,6134
746,430.62,6.95,5843.56
747,797.87,28.27,6135.64
748,1425.48,2.65,5927.51
749,433.73,291.41,6115.93
750,191.63,1623.57,6053.18
751,494.85,38.52,5855.07
752,787.16,89802.33,6243.05
753,1028.7,475253.37,6142.28
754,123.05,209606.79,5965.68
755,115.57,445881.48,5908.21
756,1067.38,7945.59,5978.13
757,801.34,177.54,6076.81
758,1508.79,135.22,5944.94
759,140.33,189.03,5911.25
760,224.33,15.1,6105.44
761,295.49,2886565.83,6075.34
762,193.43,17459.75,5888.7
763,806.74,11.6,5904.62
764,70.4,1257670.82,5934.67
765,2365.08,25569.88,6091.93
766,1567.32,14384.39,6015.84
767,321,478.4,6088.46
768,182.17,1295.45,5946.27
769,2793.73,1.82,5990.16
770,588.84,5989.66,5954.16
771,264.5,293955.42,6052.28
772,2205.37,17267.46,5935.52
773,422.14,33.43,6159.53
774,1276.99,14.9,5960.67
775,4016.38,38441.38,6088.13
776,220.7,98.18,6121.16
777,751.81,13297.64,6052.01
778,641.82,70.89,6023.75
779,4794.94,31.99,5860.75
780,310.24,22694.42,5824.87
781,154.56,27678154.11,5954.54
782,569.56,76122.69,5987.19
783,346.05,18869.87,6157.78
784,214.57,16706.25,6061.9
785,5072.44,143.09,6068.24
786,371.65,4.33,6084.15
787,1610.71,528.91,5859.04
788,2725.93,-0.03,5831.83
789,709.31,2618.36,6019.49
790,512.29,78137.99,6037.68
791,195.96,1127.4,6121.49
792,578.03,10.06,5906.81
793,600.36,26039.37,5977.23
794,613.36,97.99,6064.99
795,176.56,1297.69,6071.7
796,1744.42,16825.72,5998.94
797,126.72,3579.29,5928.93
798,357.71,823.08,5922.99
799,3585.67,18645.22,6083.45
800,540.09,0.54,6060.15
801,141.08,4718.35,5981.99
802,1825.38,126985.68,6021.14
803,304.34,20573.13,5982.78
804,28.51,6835.97,6061.82
805,1176.18,138524.25,5919.95
806,182.72,16.58,5946.04
807,111.27,1079116.2,6128.13
808,184.02,0.25,5914.96
809,95.7,3444311.88,5961.94
810,2413.07,21.84,5960.82
811,255.56,73.32,6058.56
812,2783.81,39490.31,5961.07
813,284.25,173061.81,6061.06
814,544,234.36,5936.43
815,410.53,3032.97,5899.73
816,152.5,3484300.64,6151.35
817,596.78,3383.01,5952.41
818,891.54,3611.73,6086.05
819,1361.94,7.92,6145.85
820,3542.86,21194.9,6108.59
821,2007.44,111.4,6017.66
822,257.98,60.95,6012.52
823,87.53,201.52,5913.19
824,1043.59,580378.86,6020.54
825,83.72,9529.26,5979.41
826,337.34,42525.77,5910.54
827,278.05,22.67,5910.02
828,962.38,1978.04,6032.19
829,482.75,58316.25,6109.6
830,352.71,4754.96,5948.74
831,364.9,403339.66,5950.63
832,2371.48,180.1,5988.68
833,894.95,518823.03,5992.16
834,55.27,511.39,6118.81
835,999.11,8459.96,6017.24
836,608.14,11579934.49,5874.72
837,161.95,5339.59,5975.99
838,511.36,206038.32,6027.12
839,1878.39,3351.91,6019.48
840,197.94,219.9,5957.04
841,1456.4,1786069.75,5782.51
842,1240.47,108.29,5936.09
843,3426.18,302.89,5994.08
844,1621.45,4392.81,6006.37
845,1152.34,197.64,5989.58
846,2517.66,94.82,5901.96
847,278.53,8681494.33,5735.73
848,1241.81,28478.1,5871.83
849,1898.69,409.15,6002.53
850,355.47,161.51,6060.65
851,215.86,4292.7,5963.85
852,13182.88,1134.87,5894.48
853,1776.08,3520.43,5808.05
854,2191.23,245.29,6014.34
855,476.85,22984.47,5890.51
856,1420.9,210.08,6052.46
857,845.8,115.04,6100.75
858,707.5,37.41,5960.24
859,391.22,2122741.29,5766.05
860,1000.69,582529.21,5844.09
861,554.88,2307.43,6060.25
862,2060.37,4714.61,6074.32
863,832.62,-0.49,6085.74
864,129.01,245765.97,5795.13
865,4973.22,41.81,6075.92
866,291.59,421510.07,6144.45
867,147.8,87.5,5954.9
868,895.98,514.57,6010.94
869,642.86,3.09,5893.93
870,86.39,33.05,5961.03
871,3199.81,350.12,6064.66
872,1945.88,523.91,6014.11
873,240.13,1163.6,6129.4
874,162.44,8731.13,5979.09
875,1485,1205.65,5835.05
876,428.5,5267.78,6120.4
877,752.37,8031.81,5966.71
